Average Academic score(%),Hours working per day,hackathons,coding skills rating,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Suggested Job Role
80.28571429,9,0,4,yes,yes,yes,shell programming,cloud computing,no,cloud computing,system developer,higherstudies,Web Services,no,no,Prayer books,Management,hard worker,yes,Database Developer
71.57142857,12,1,2,yes,no,yes,machine learning,database security,no,networks,Business process analyst,job,SAaS services,yes,yes,Childrens,Technical,hard worker,no,Portal Administrator
77.14285714,11,4,1,yes,no,yes,app development,web technologies,no,hacking,developer,higherstudies,Sales and Marketing,yes,yes,Travel,Management,hard worker,no,Portal Administrator
78,7,1,2,no,yes,no,python,data science,yes,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Romance,Management,smart worker,yes,Systems Security Administrator
75.14285714,4,4,6,no,no,no,app development,cloud computing,no,Computer Architecture,testing,higherstudies,product development,no,yes,Cookbooks,Management,hard worker,yes,Business Systems Analyst
78.28571429,11,3,8,yes,yes,no,python,database security,no,programming,system developer,job,Testing and Maintainance Services,yes,yes,Self help,Management,smart worker,yes,Software Systems Engineer
77.71428571,6,2,3,no,no,yes,r programming,cloud computing,no,parallel computing,security,job,BPA,no,no,Drama,Technical,hard worker,yes,Database Developer
77.71428571,12,1,6,yes,no,no,r programming,cloud computing,no,parallel computing,developer,higherstudies,BPA,no,no,Romance,Technical,smart worker,no,Business Intelligence Analyst
73.57142857,10,2,4,no,yes,no,information security,testing,yes,IOT,developer,higherstudies,BPA,no,no,Math,Technical,hard worker,yes,Business Systems Analyst
74.57142857,10,0,5,no,no,yes,app development,data science,yes,data engineering,Business process analyst,job,product development,no,no,Religion-Spirituality,Management,hard worker,yes,CRM Technical Developer
76.57142857,8,2,3,yes,no,no,hadoop,database security,no,parallel computing,security,higherstudies,Sales and Marketing,no,yes,Cookbooks,Management,hard worker,yes,Mobile Applications Developer
79.28571429,8,6,9,no,yes,no,machine learning,hacking,yes,parallel computing,testing,higherstudies,Testing and Maintainance Services,yes,no,Anthology,Management,smart worker,yes,UX Designer
63.57142857,8,2,8,yes,no,yes,distro making,game development,yes,cloud computing,system developer,higherstudies,Service Based,yes,no,Trilogy,Technical,smart worker,yes,CRM Technical Developer
74.71428571,12,3,6,no,no,yes,python,testing,no,parallel computing,developer,higherstudies,Testing and Maintainance Services,no,yes,Autobiographies,Management,smart worker,yes,Business Systems Analyst
74.85714286,9,2,3,yes,no,yes,machine learning,hacking,yes,Software Engineering,security,job,Testing and Maintainance Services,yes,no,Math,Management,hard worker,yes,Quality Assurance Associate
70,4,6,5,yes,yes,yes,information security,system designing,yes,networks,testing,higherstudies,Testing and Maintainance Services,no,no,Childrens,Technical,hard worker,no,Web Developer
76.14285714,11,5,5,no,no,yes,app development,hacking,no,IOT,developer,job,Sales and Marketing,yes,yes,Mystery,Technical,hard worker,yes,Web Developer
74.71428571,4,6,3,no,yes,no,hadoop,web technologies,no,hacking,security,job,product development,no,yes,Math,Management,smart worker,yes,Information Security Analyst
82.57142857,12,0,7,no,no,no,machine learning,testing,no,Computer Architecture,Business process analyst,higherstudies,Web Services,yes,no,Diaries,Technical,hard worker,yes,CRM Business Analyst
72.85714286,12,0,2,no,yes,no,hadoop,system designing,yes,parallel computing,cloud computing,job,SAaS services,yes,no,Autobiographies,Management,hard worker,no,Information Security Analyst
75,4,0,2,yes,yes,yes,app development,game development,yes,parallel computing,security,higherstudies,Product based,no,no,Journals,Technical,hard worker,yes,Database Developer
74.28571429,5,3,2,yes,yes,yes,hadoop,system designing,no,hacking,security,higherstudies,BPA,yes,no,History,Management,hard worker,yes,Business Systems Analyst
70.28571429,4,6,4,no,no,no,r programming,system designing,yes,cloud computing,system developer,job,BPA,no,yes,Art,Management,hard worker,no,Quality Assurance Associate
76.14285714,9,5,7,no,yes,yes,shell programming,testing,yes,data engineering,testing,job,Service Based,no,no,Childrens,Management,smart worker,no,Technical Support
79,4,5,5,yes,yes,no,full stack,testing,yes,parallel computing,cloud computing,higherstudies,product development,no,yes,Childrens,Technical,smart worker,no,Technical Support
83.42857143,12,0,4,yes,yes,no,distro making,testing,yes,networks,developer,higherstudies,SAaS services,yes,yes,History,Technical,hard worker,no,Information Security Analyst
79.14285714,4,5,1,no,yes,no,python,database security,no,programming,Business process analyst,higherstudies,SAaS services,no,yes,Self help,Management,hard worker,yes,Business Intelligence Analyst
78.14285714,12,1,3,yes,yes,yes,app development,data science,no,parallel computing,security,job,Web Services,no,yes,Dictionaries,Technical,smart worker,no,Project Manager
80.28571429,11,0,1,yes,no,yes,app development,testing,no,cloud computing,cloud computing,higherstudies,BPA,yes,no,Art,Management,hard worker,no,Information Technology Manager
